Sample_Name,Experiment,Batch,Sample_Time,Day,Vicell_sampletime,Flex_sampletime,Cedex_sampletime,TCC,VCC,Viability,Diameter,Osmolality,Ammonium,Calcium,Glucose,Glutamine,Glutamate,Lactate,pH,CO2,pO2,Potassium,Sodium,Bicarbonate,pCO2 at Temp,pO2 at Temp,pH at Temp,IGG,LDH,DO,pH_setpoint,pH_setpoint_low,pH_setpoint_high,Temperature,Feed_Time_Offset,Bolus_Feed,Cumulative_Feed,Cumulative_Glucose,Normalized_Bolus_Feed,Cumulative_Normalized_Feed,Cumulative_Normalized_Glucose,Volume,Initial_Volume
AR25-050005152FER2064-01,AR25-050,AR25-050-015,5/15/2025 15:27,0,5/15/2025 14:45,5/15/2025 15:27,5/15/2025 15:56,0.3969,0.3926,98.9,15.12,332,0.79,0.5,6.32,1.01,2.77,0,7.03,80.2,142.2,5.06,115.6,20.8,73.5,130.7,7.06,68.0871,2.077781,40,6.75,6.6,6.9,35,-8,0,0,,0,0,,139.99,190
AR25-050005152FER2065-01,AR25-050,AR25-050-016,5/15/2025 15:32,0,5/15/2025 14:47,5/15/2025 15:32,5/15/2025 15:58,0.407,0.4048,99.5,15.29,333,0.62,0.33,3.87,0.56,1.66,0,7.1,62.5,142.5,3.08,,19.1,57.3,131,7.13,66.30435,1.64785,40,6.75,6.6,6.9,35,8,0,0,,0,0,,187.21,190
AR25-050005152FER2066-01,AR25-050,AR25-050-017,5/15/2025 15:39,0,5/15/2025 14:48,5/15/2025 15:39,5/15/2025 15:59,0.4091,0.4027,98.4,15.23,333,0.81,0.51,6.38,1.01,2.8,0,6.95,97.2,134.9,5.12,116.8,22.1,101.6,141.3,6.94,71.8281,2.731598,40,6.75,6.6,6.9,38,-8,0,0,,0,0,,187.21,190
AR25-050005152FER2067-01,AR25-050,AR25-050-018,5/15/2025 15:45,0,5/15/2025 14:50,5/15/2025 15:45,5/15/2025 16:00,0.6166,0.6072,98.5,15.08,339,0.52,0.21,2.07,0.27,0.91,0,7.38,26,144.7,,,15.4,25.5,141.7,7.39,67.20885,4.034012,40,7.1,6.95,7.25,36.5,0,0,0,,0,0,,187.21,190
AR25-050005152FER2068-01,AR25-050,AR25-050-019,5/15/2025 15:51,0,5/15/2025 14:52,5/15/2025 15:51,5/15/2025 16:01,0.3488,0.3445,98.8,15.05,329,0.81,0.52,6.62,1.07,2.95,0,7.51,18.8,147.6,5.29,120.1,15,17.2,136,7.54,68.067,2.896023,40,7.45,7.3,7.6,35,-8,0,0,,0,0,,187.21,190
AR25-050005152FER2069-01,AR25-050,AR25-050-020,5/15/2025 15:57,0,5/15/2025 14:54,5/15/2025 15:57,5/15/2025 16:02,0.3897,0.3854,98.9,15.31,323,0.58,0.28,3.21,0.45,1.36,0,7.62,9.7,152.1,2.57,,10.1,10.2,158,7.6,70.2399,2.810084,40,7.45,7.3,7.6,38,8,0,0,,0,0,,187.21,190
AR25-050005152FER2070-01,AR25-050,AR25-050-021,5/15/2025 16:13,0,5/15/2025 14:56,5/15/2025 16:13,5/15/2025 16:03,0.5914,0.5857,99,15.33,335,0.86,0.51,6.46,0.65,3.27,0,7,84.3,136.6,5.07,116.7,21,82.5,133.6,7.01,67.4358,3.141056,40,6.65,6.5,6.8,36.5,0,0,0,,0,0,,187.21,190
AR25-050005152FER2071-01,AR25-050,AR25-050-022,5/15/2025 16:19,0,5/15/2025 14:58,5/15/2025 16:19,5/15/2025 16:05,0.6309,0.6259,99.2,15.22,332,0.83,0.49,6.24,0.86,3.17,0,7.15,56.7,145,4.89,112.8,19.9,55.5,142,7.16,68.2914,4.082257,40,6.65,6.5,6.8,36.5,0,0,0,,0,0,,187.21,190
AR25-050005152FER2072-01,AR25-050,AR25-050-023,5/15/2025 16:26,0,5/15/2025 15:00,5/15/2025 16:26,5/15/2025 16:06,0.6402,0.6352,99.2,15.14,328,0.85,0.49,6.31,1.02,3.26,0,7.58,14.8,152.6,4.98,114.4,14,14.4,149.8,7.59,70.6665,3.620549,40,7.55,7.4,7.7,36.5,0,0,0,,0,0,,187.21,190
AR25-050005152FER2073-01,AR25-050,AR25-050-024,5/15/2025 16:32,0,5/15/2025 15:02,5/15/2025 16:32,5/15/2025 16:06,0.6187,0.6151,99.4,15.17,327,0.84,0.49,6.23,1.02,3.22,0,7.61,12.5,154.7,4.91,112.6,12.7,12.3,151.7,7.62,64.3872,3.283016,40,7.55,7.4,7.7,36.5,0,0,0,,0,0,,187.21,190
AR25-050005162FER2050-01,AR25-050,AR25-050-001,5/16/2025 11:06,1,5/16/2025 11:49,5/16/2025 11:06,5/16/2025 13:46,0.9632,0.9582,99.5,15.49,332,1.1,0.53,6.54,1.24,3.47,,7.23,45.5,130.4,5.25,121.3,19.1,44.5,127.4,7.24,66.32339,4.160484,40,7.1,6.95,7.25,36.5,0,0,0,,0,0,,185.22,190
AR25-050005162FER2051-01,AR25-050,AR25-050-002,5/16/2025 11:13,1,5/16/2025 11:51,5/16/2025 11:13,5/16/2025 13:49,1.0056,0.9819,97.6,15.32,341,1.14,0.54,6.52,1.17,3.32,,6.66,200.7,93.8,5.23,121.5,23.2,209.3,99.5,6.65,69.6858,5.316348,40,6.75,6.6,6.9,38,8,0,0,,0,0,,186.17,190
AR25-050005162FER2052-01,AR25-050,AR25-050-003,5/16/2025 11:19,1,5/16/2025 11:53,5/16/2025 11:19,5/16/2025 13:50,1.2238,1.2166,99.4,15.36,329,1.22,0.53,6.42,1.14,3.52,0.22,7.41,27.1,133.7,5.18,120.8,16.8,24.9,122,7.43,68.3364,6.372486,40,7.45,7.3,7.6,35,-8,0,0,,0,0,,187.17,190
AR25-050005162FER2053-01,AR25-050,AR25-050-004,5/16/2025 11:25,1,5/16/2025 11:55,5/16/2025 11:25,5/16/2025 13:51,1.0049,0.9941,98.9,15.39,342,1.09,0.53,6.51,1.12,3.25,,6.67,195.7,105.8,5.17,121.1,22,179.4,94.3,6.69,68.12745,6.746377,40,6.75,6.6,6.9,35,-8,0,0,,0,0,,186.18,190
AR25-050005162FER2054-01,AR25-050,AR25-050-005,5/16/2025 11:32,1,5/16/2025 11:57,5/16/2025 11:32,5/16/2025 13:51,0.595,0.59,99.2,15.55,330,0.95,0.52,6.56,1.15,3.28,,7.44,25,146.4,5.18,119.6,16.7,22.9,134.9,7.47,63.65145,2.059411,40,7.45,7.3,7.6,35,8,0,0,,0,0,,186.2,190
AR25-050005162FER2055-01,AR25-050,AR25-050-006,5/16/2025 11:38,1,5/16/2025 11:59,5/16/2025 11:38,5/16/2025 13:52,1.1405,1.1312,99.2,15.32,338,1.21,0.53,6.42,1.11,3.36,,6.89,118.9,108.3,5.15,120.7,23.5,124.1,114.5,6.88,69.43095,5.662737,40,6.75,6.6,6.9,38,-8,0,0,,0,0,,183.41,190
AR25-050005162FER2056-01,AR25-050,AR25-050-007,5/16/2025 11:45,1,5/16/2025 12:01,5/16/2025 11:45,5/16/2025 13:52,0.9891,0.9819,99.3,15.32,335,1.09,0.53,6.49,1.14,3.37,,7.16,58.9,127.4,5.23,121.6,20.8,57.6,124.3,7.16,69.3321,4.987834,40,7.1,6.95,7.25,36.5,0,0,0,,0,0,,184.39,190
AR25-050005162FER2057-01,AR25-050,AR25-050-008,5/16/2025 11:51,1,5/16/2025 12:03,5/16/2025 11:51,5/16/2025 13:53,0.9955,0.9898,99.4,15.37,335,1.11,0.53,6.5,1.15,3.39,0.2,7.22,47.8,130,5.2,121.3,19.7,46.7,126.8,7.23,66.8244,4.571315,40,7.1,6.95,7.25,36.5,0,0,0,,0,0,,183.42,190
AR25-050005162FER2058-01,AR25-050,AR25-050-009,5/16/2025 11:58,1,5/16/2025 12:21,5/16/2025 11:58,5/16/2025 13:53,1.2963,1.2769,98.5,15.49,330,1.23,0.52,6.3,1.13,3.43,0.23,7.42,25.9,134.3,5.12,119.8,16.8,23.7,122.5,7.45,69.87555,8.348287,40,7.45,7.3,7.6,35,8,0,0,,0,0,,184.4,190
AR25-050005162FER2059-01,AR25-050,AR25-050-010,5/16/2025 12:11,1,5/16/2025 12:26,5/16/2025 12:11,5/16/2025 13:54,1.1843,1.1771,99.4,15.3,341,1.13,0.54,6.52,0.81,3.27,,6.81,145,114.9,5.2,120.9,22.6,132.9,103.2,6.84,67.0185,7.031496,40,6.75,6.6,6.9,35,8,0,0,,0,0,,184.38,190
AR25-050005162FER2060-01,AR25-050,AR25-050-011,5/16/2025 12:18,1,5/16/2025 12:24,5/16/2025 12:18,5/16/2025 13:55,0.641,0.6338,98.9,15.88,334,1.05,0.53,6.54,1.02,3.34,,7.46,22.4,137.3,5.25,120,16.1,23.4,143.7,7.44,66.20775,4.88705,40,7.45,7.3,7.6,38,-8,0,0,,0,0,,184.4,190
AR25-050005162FER2061-01,AR25-050,AR25-050-012,5/16/2025 12:24,1,5/16/2025 12:28,5/16/2025 12:24,5/16/2025 13:58,0.5663,0.5548,98,15.36,343,0.94,0.54,6.67,1.1,3.14,,6.81,146.4,114.3,5.28,120.4,23.7,153,120.8,6.8,68.3838,1.644218,40,6.75,6.6,6.9,38,8,0,0,,0,0,,184.38,190
AR25-050005162FER2062-01,AR25-050,AR25-050-013,5/16/2025 11:00,1,5/16/2025 12:30,5/16/2025 11:00,5/16/2025 13:59,1.3401,1.3257,98.9,15.56,329,1.32,0.53,6.27,1.36,3.74,0.3,7.39,24.5,121.9,5.18,122.4,15.2,25.6,128.5,7.38,69.8325,6.214996,40,7.45,7.3,7.6,38,8,0,0,,0,0,,186.2,190
AR25-050005162FER2063-01,AR25-050,AR25-050-014,5/16/2025 12:30,1,5/16/2025 12:32,5/16/2025 12:30,5/16/2025 14:00,1.3717,1.3595,99.1,15.47,331,1.36,0.53,6.19,1.08,3.52,0.32,7.38,24.6,118.2,5.14,119.7,15,25.7,124.5,7.37,68.9085,7.5898,40,7.45,7.3,7.6,38,-8,0,0,,0,0,,184.4,190
AR25-050005162FER2064-01,AR25-050,AR25-050-015,5/16/2025 12:36,1,5/16/2025 12:34,5/16/2025 12:36,5/16/2025 14:00,0.5821,0.5742,98.6,15.41,342,0.9,0.54,6.69,1.13,3.1,,6.83,138.4,125.4,5.27,119.9,22.2,126.8,113.6,6.85,67.8351,3.859703,40,6.75,6.6,6.9,35,-8,0,0,,0,0,,184.38,190
AR25-050005162FER2065-01,AR25-050,AR25-050-016,5/16/2025 12:42,1,5/16/2025 12:36,5/16/2025 12:42,5/16/2025 13:41,0.5304,0.5276,99.5,15.42,344,0.89,0.54,6.71,1.14,3.08,,6.7,180.5,115.6,5.27,120.4,21.7,165.4,103.8,6.72,69.05355,1.916925,40,6.75,6.6,6.9,35,8,0,0,,0,0,,184.37,190
AR25-050005162FER2066-01,AR25-050,AR25-050-017,5/16/2025 12:48,1,5/16/2025 12:37,5/16/2025 12:48,5/16/2025 13:41,0.5843,0.5778,98.9,15.52,341,0.95,0.54,6.69,1.15,3.16,,6.83,134.5,118.6,5.29,120.8,23.2,140.5,124.9,6.82,70.33305,2.131349,40,6.75,6.6,6.9,38,-8,0,0,,0,0,,184.38,190
AR25-050005162FER2067-01,AR25-050,AR25-050-018,5/16/2025 12:53,1,5/16/2025 12:39,5/16/2025 12:53,5/16/2025 13:42,1.0135,1.0106,99.7,15.57,336,1.11,0.53,6.43,1.13,3.25,,7.11,65,126,5.15,119.3,20.6,63.6,122.9,7.11,68.20035,3.678735,40,7.1,6.95,7.25,36.5,0,0,0,,0,0,,184.39,190
AR25-050005162FER2068-01,AR25-050,AR25-050-019,5/16/2025 13:00,1,5/16/2025 12:41,5/16/2025 13:00,5/16/2025 13:42,0.6259,0.6245,99.8,15.48,334,0.99,0.53,6.6,1.17,3.23,,7.47,23.4,148.6,5.23,119.7,16.8,21.4,137.2,7.5,68.95455,2.369766,40,7.45,7.3,7.6,35,-8,0,0,,0,0,,184.39,190
AR25-050005162FER2069-01,AR25-050,AR25-050-020,5/16/2025 13:06,1,5/16/2025 12:43,5/16/2025 13:06,5/16/2025 13:43,0.6496,0.6438,99.1,15.63,333,1.06,0.54,6.6,1.18,3.34,,7.48,21.1,138.7,5.32,121.7,16,22.1,145,7.46,64.43115,2.38874,40,7.45,7.3,7.6,38,8,0,0,,0,0,,184.39,190
AR25-050005162FER2070-01,AR25-050,AR25-050-021,5/16/2025 13:13,1,5/16/2025 12:45,5/16/2025 13:13,5/16/2025 13:43,0.8742,0.8642,98.9,15.35,341,1.05,0.54,6.64,1.15,3.17,,6.75,163.9,109.4,5.27,121.4,22.8,160.4,106.5,6.76,67.42905,2.181346,40,6.65,6.5,6.8,36.5,0,0,0,,0,0,,183.4,190
AR25-050005162FER2071-01,AR25-050,AR25-050-022,5/16/2025 13:19,1,5/16/2025 12:47,5/16/2025 13:19,5/16/2025 13:44,0.7946,0.7888,99.3,15.34,346,1.04,0.54,6.65,1.16,3.16,,6.75,167.5,109.2,5.28,121.7,23.1,164.1,106.3,6.75,63.8187,3.372326,40,6.65,6.5,6.8,36.5,0,0,0,,0,0,,184.37,190
AR25-050005162FER2072-01,AR25-050,AR25-050-023,5/16/2025 13:30,1,5/16/2025 12:49,5/16/2025 13:30,5/16/2025 13:45,0.9762,0.9697,99.3,15.58,331,1.19,0.54,6.48,1.23,3.39,0.22,7.43,24.3,133.3,5.26,121.7,16.1,23.8,130.3,7.43,68.13765,4.148226,40,7.55,7.4,7.7,36.5,0,0,0,,0,0,,184.39,190
AR25-050005162FER2073-01,AR25-050,AR25-050-024,5/16/2025 13:36,1,5/16/2025 12:51,5/16/2025 13:36,5/16/2025 13:45,0.9518,0.9439,99.2,15.55,333,1.17,0.53,6.25,1.13,3.28,0.22,7.43,23.8,133.9,5.11,118.4,15.9,23.3,130.9,7.44,68.90746,3.33981,40,7.55,7.4,7.7,36.5,0,0,0,,0,0,,191.08,190
AR25-050005172FER2050-01,AR25-050,AR25-050-001,5/17/2025 11:07,2,5/17/2025 11:44,5/17/2025 11:07,5/17/2025 14:49,2.0593,2.0535,99.7,15.36,330,1.53,0.53,6.09,1.07,3.83,0.39,7.21,43.3,111.2,5.11,121.8,17.5,42.4,108.3,7.22,69.0624,6.115126,40,7.1,6.95,7.25,36.5,0,0,0,,0,0,,182.4,190
AR25-050005172FER2051-01,AR25-050,AR25-050-002,5/17/2025 11:13,2,5/17/2025 11:46,5/17/2025 11:13,5/17/2025 14:51,1.447,1.3803,95.4,15.17,337,1.46,0.53,6.2,1.03,3.6,0.29,6.92,111.4,108.8,5.14,121,23.2,116.5,115.1,6.9,98.69415,12.3873,40,6.75,6.6,6.9,38,8,0,0,,0,0,,183.34,190
AR25-050005172FER2052-01,AR25-050,AR25-050-003,5/17/2025 11:19,2,5/17/2025 11:48,5/17/2025 11:19,5/17/2025 14:52,1.831,1.8195,99.4,15.97,329,1.68,0.53,6.03,1.02,3.8,0.39,7.35,29.2,116.3,5.09,121.9,15.9,26.7,104.6,7.38,80.16405,14.3929,40,7.45,7.3,7.6,35,-8,0,0,,0,0,,184.35,190
AR25-050005172FER2053-01,AR25-050,AR25-050-004,5/17/2025 11:26,2,5/17/2025 11:49,5/17/2025 11:26,5/17/2025 14:54,1.5138,1.4887,98.3,15.27,338,1.31,0.53,6.37,1.05,3.42,0.21,6.9,124.9,112.3,5.13,121.6,24,114.3,100.5,6.93,70.15185,7.318893,40,6.75,6.6,6.9,35,-8,0,0,,0,0,,181.55,190
AR25-050005172FER2054-01,AR25-050,AR25-050-005,5/17/2025 11:33,2,5/17/2025 11:51,5/17/2025 11:33,5/17/2025 14:55,0.9575,0.9518,99.4,16.19,331,1.22,0.52,6.31,1.05,3.46,0.25,7.42,25.4,138.9,5.1,119,16.3,23.3,127.1,7.45,68.65695,6.743189,40,7.45,7.3,7.6,35,8,0,0,,0,0,,181.58,190
AR25-050005172FER2055-01,AR25-050,AR25-050-006,5/17/2025 11:40,2,5/17/2025 11:54,5/17/2025 11:40,5/17/2025 14:56,1.8698,1.8475,98.8,15.29,335,1.69,0.53,6.19,0.99,3.67,0.23,6.89,128.9,94.3,5.11,122,25.2,134.7,100.4,6.88,77.37285,12.6368,40,6.75,6.6,6.9,38,-8,0,0,,0,0,,180.58,190
AR25-050005172FER2056-01,AR25-050,AR25-050-007,5/17/2025 11:47,2,5/17/2025 11:56,5/17/2025 11:47,5/17/2025 14:57,1.9322,1.9229,99.5,15.28,331,1.5,0.52,6.01,1.01,3.61,0.38,7.24,44.2,112,5.02,119.9,19.1,43.3,109.1,7.25,84.66299,12.2929,40,7.1,6.95,7.25,36.5,0,0,0,,0,0,,181.57,190
AR25-050005172FER2057-01,AR25-050,AR25-050-008,5/17/2025 11:54,2,5/17/2025 11:57,5/17/2025 11:54,5/17/2025 14:59,1.9251,1.9136,99.4,15.28,332,1.53,0.52,5.97,1.02,3.59,0.4,7.23,45.2,112,5.02,120.7,19,44.2,108.9,7.24,74.98935,7.670616,40,7.1,6.95,7.25,36.5,0,0,0,,0,0,,180.59,190
AR25-050005172FER2058-01,AR25-050,AR25-050-009,5/17/2025 12:01,2,5/17/2025 11:59,5/17/2025 12:01,5/17/2025 15:00,1.826,1.8124,99.3,16.01,329,1.68,0.52,5.9,1.03,3.65,0.39,7.37,28.1,117.4,5.02,120.7,16.2,25.7,105.6,7.4,72.68145,9.629716,40,7.45,7.3,7.6,35,8,0,0,,0,0,,181.58,190
AR25-050005172FER2059-01,AR25-050,AR25-050-010,5/17/2025 12:11,2,5/17/2025 12:01,5/17/2025 12:11,5/17/2025 15:02,1.5274,1.4994,98.2,15.35,338,1.39,0.53,6.4,0.76,3.45,,6.89,130,111.2,5.17,121.5,24,119.1,99.6,6.91,81.1038,13.9758,40,6.75,6.6,6.9,35,8,0,0,,0,0,,181.55,190
AR25-050005172FER2060-01,AR25-050,AR25-050-011,5/17/2025 12:17,2,5/17/2025 12:03,5/17/2025 12:17,5/17/2025 15:03,1.3286,1.32,99.4,15.47,331,1.5,0.53,6.12,0.88,3.72,0.4,7.37,24.2,120.7,5.14,119.4,14.2,25.3,127.2,7.35,69.5658,5.825295,40,7.45,7.3,7.6,38,-8,0,0,,0,0,,181.57,190
AR25-050005172FER2061-01,AR25-050,AR25-050-012,5/17/2025 12:23,2,5/17/2025 12:05,5/17/2025 12:23,5/17/2025 15:04,0.862,0.8427,97.8,15.46,339,1.12,0.53,6.52,0.97,3.37,,6.91,119.7,115.8,5.22,120.2,24.3,125.1,122.1,6.89,74.5794,13.3427,40,6.75,6.6,6.9,38,8,0,0,,0,0,,181.55,190
AR25-050005172FER2062-01,AR25-050,AR25-050-013,5/17/2025 12:30,2,5/17/2025 12:07,5/17/2025 12:30,5/17/2025 15:05,2.9019,2.8854,99.4,15.22,329,2.1,0.53,5.47,0.92,4.04,0.62,7.29,29.7,84.6,4.98,123,14.5,31.1,90.3,7.27,85.7526,11.0357,40,7.45,7.3,7.6,38,8,0,0,,0,0,,181.93,190
AR25-050005172FER2063-01,AR25-050,AR25-050-014,5/17/2025 11:00,2,5/17/2025 12:10,5/17/2025 11:00,5/17/2025 15:06,3.0304,3.0125,99.4,15.24,327,2.04,0.52,5.47,1.12,4.31,0.63,7.31,31,81.4,4.96,124,16.1,32.4,86.9,7.3,79.0155,17.8968,40,7.45,7.3,7.6,38,-8,0,0,,0,0,,183.99,190
AR25-050005172FER2064-01,AR25-050,AR25-050-015,5/17/2025 12:36,2,5/17/2025 12:12,5/17/2025 12:36,5/17/2025 15:08,0.8132,0.801,98.5,15.32,340,1.03,0.54,6.65,1.05,3.24,,6.86,132.5,122.9,5.27,120.7,23.1,121.5,111.1,6.88,76.4739,9.989349,40,6.75,6.6,6.9,35,-8,0,0,,0,0,,181.55,190
AR25-050005172FER2065-01,AR25-050,AR25-050-016,5/17/2025 12:42,2,5/17/2025 12:14,5/17/2025 12:42,5/17/2025 14:31,0.7623,0.7508,98.5,15.27,339,0.99,0.53,6.56,1.04,3.17,,6.87,127.2,124.9,5.16,118.4,22.9,116.7,113.1,6.9,69.0861,6.108678,40,6.75,6.6,6.9,35,8,0,0,,0,0,,181.54,190
AR25-050005172FER2066-01,AR25-050,AR25-050-017,5/17/2025 12:48,2,5/17/2025 12:16,5/17/2025 12:48,5/17/2025 14:31,0.9503,0.9345,98.3,15.45,340,1.17,0.54,6.6,1.05,3.4,,6.93,108.3,117.7,5.29,121.1,23.4,113,124,6.92,67.79055,5.839541,40,6.75,6.6,6.9,38,-8,0,0,,0,0,,181.55,190
AR25-050005172FER2067-01,AR25-050,AR25-050-018,5/17/2025 12:55,2,5/17/2025 12:18,5/17/2025 12:55,5/17/2025 14:41,1.8705,1.8612,99.5,15.38,332,1.54,0.53,5.98,1.01,3.56,0.36,7.22,43.5,110.5,5.01,119.2,17.6,42.5,107.5,7.22,77.688,7.830253,40,7.1,6.95,7.25,36.5,0,0,0,,0,0,,181.57,190
AR25-050005172FER2068-01,AR25-050,AR25-050-019,5/17/2025 13:01,2,5/17/2025 12:20,5/17/2025 13:01,5/17/2025 14:41,0.8821,0.8735,99,15.97,334,1.26,0.53,6.4,1.05,3.42,0.23,7.44,24.3,140.6,5.16,119.7,16.5,22.3,129,7.47,70.26795,6.339752,40,7.45,7.3,7.6,35,-8,0,0,,0,0,,181.57,190
AR25-050005172FER2069-01,AR25-050,AR25-050-020,5/17/2025 13:07,2,5/17/2025 12:22,5/17/2025 13:07,5/17/2025 14:44,1.3788,1.3717,99.5,15.54,326,1.5,0.52,5.99,0.98,3.59,0.4,7.38,23,124,5.06,117.9,14,24,130.3,7.37,69.18585,7.383838,40,7.45,7.3,7.6,38,8,0,0,,0,0,,181.57,190
