Type,Batch,Day,IGG,VCC,Viability,Glutamate,Ammonium,Normalized_Bolus_Feed,Temperature_setpoint,pH_setpoint
Simulation,AR25-064-002,0,72.87315,1.2037,99.2,2.69,0.74,0,36.5,7.1
Simulation,AR25-064-002,1,-55.40335857,2.687091452,98.98736008,2.9036446,0.914022045,0,36.5,7.1
Simulation,AR25-064-002,2,-60.60804424,4.499934635,99.07607308,3.158868913,1.160301625,0,36.5,7.1
Simulation,AR25-064-002,3,57.7424808,6.588189141,99.32895273,3.435490147,1.491852367,0.040722564,36.5,7.1
Simulation,AR25-064-002,4,236.2668404,8.979098347,99.36008566,3.754137027,1.956096406,0,36.5,7.1
Simulation,AR25-064-002,5,603.3509637,11.31291333,99.57179797,4.029545079,2.459683654,0,35,7.1
Simulation,AR25-064-002,6,1101.583123,13.36508265,99.55182594,4.409351191,3.236764436,0.051316961,35,7.1
Simulation,AR25-064-002,7,1619.870083,15.29906321,98.91220129,4.837171934,4.115705178,0,35,7.1
Simulation,AR25-064-002,8,2321.306123,16.765522,98.32013516,5.226173329,4.972806297,0.048088719,35,7.1
Simulation,AR25-064-002,9,3021.257601,17.96782003,97.03755865,5.645412663,5.901776277,0,35,7.1
Simulation,AR25-064-002,10,3868.971332,18.58631058,95.71975484,6.017020342,6.78117021,0.04447814,35,7.1
Simulation,AR25-064-002,11,4690.166733,18.83231151,93.71673605,6.409389938,7.69503696,0,35,7.1
Simulation,AR25-064-002,12,5622.300734,18.44490192,91.67765613,6.755159206,8.530374109,0.038900803,35,7.1
Simulation,AR25-064-002,13,6508.523318,17.65666895,89.05808149,7.119929249,9.364508973,0,35,7.1
Simulation,AR25-064-002,14,7471.086115,16.28817387,86.46870881,7.449150746,10.10220175,0,35,7.1
Simulation,AR25-064-003,0,73.21845,1.2252,98.9,2.79,0.75,0,36.5,7.1
Simulation,AR25-064-003,1,-13.46485481,2.935252972,98.89563046,3.025212708,0.952866122,0,36.5,7.1
Simulation,AR25-064-003,2,26.37301109,4.964047039,99.13493846,3.293622638,1.237645105,0,36.5,7.1
Simulation,AR25-064-003,3,190.2688378,7.227444974,99.46484497,3.573644796,1.612402493,0.040733198,36.5,7.1
Simulation,AR25-064-003,4,411.494562,9.727309068,99.49071222,3.885306112,2.119123958,0,36.5,7.1
Simulation,AR25-064-003,5,815.0777757,12.08538314,99.61437336,4.143567881,2.658987701,0,35,7.1
Simulation,AR25-064-003,6,1340.455064,14.06731178,99.43092298,4.497157077,3.461206483,0.05144627,35,7.1
Simulation,AR25-064-003,7,1873.78875,15.83666803,98.56654774,4.891663991,4.35029805,0,35,7.1
Simulation,AR25-064-003,8,2576.881067,17.05267972,97.71121473,5.242486881,5.199633063,0.050795625,35,7.1
Simulation,AR25-064-003,9,3260.29088,17.94608835,96.13587614,5.62438733,6.10500687,0,35,7.1
Simulation,AR25-064-003,10,4082.999558,18.20852561,94.56066637,5.958233148,6.939993015,0.044808799,35,7.1
Simulation,AR25-064-003,11,4866.370737,18.08831348,92.33666696,6.316794872,7.794424139,0,35,7.1
Simulation,AR25-064-003,12,5751.333483,17.35341658,90.14004039,6.634527065,8.558215213,0.039221602,35,7.1
Simulation,AR25-064-003,13,6582.992673,16.26790544,87.43904244,6.979259909,9.314112148,0,35,7.1
Simulation,AR25-064-003,14,7488.228739,14.67655893,84.85939873,7.296935037,9.971531051,0,35,7.1
Simulation,AR25-064-004,0,75.18855,0.6079,98.9,2.81,0.69,0,36.5,7.1
Simulation,AR25-064-004,1,-18.27618417,2.435615645,99.02132779,3.065862891,0.893686138,0,36.5,7.1
Simulation,AR25-064-004,2,23.22267738,4.625739363,99.40481552,3.357501021,1.189407358,0,36.5,7.1
Simulation,AR25-064-004,3,197.4694855,7.083498593,99.88313851,3.661712795,1.585651546,0.040728944,36.5,7.1
Simulation,AR25-064-004,4,437.3815382,9.796361376,100.0466373,3.996859025,2.123873736,0,36.5,7.1
Simulation,AR25-064-004,5,867.0199217,12.36930442,100.2826319,4.276348106,2.703827608,0,35,7.1
Simulation,AR25-064-004,6,1424.35846,14.55032524,100.1737354,4.647586509,3.552504205,0.051335778,35,7.1
Simulation,AR25-064-004,7,1993.844866,16.4857805,99.33733497,5.055088972,4.491494277,0,35,7.1
Simulation,AR25-064-004,8,2734.786267,17.82098226,98.45643884,5.413909318,5.391256232,0.050502448,35,7.1
Simulation,AR25-064-004,9,3456.198784,18.77468669,96.80369569,5.798425916,6.343935479,0,35,7.1
Simulation,AR25-064-004,10,4314.003738,19.03407372,95.09893812,6.130429544,7.220755985,0.044401837,35,7.1
Simulation,AR25-064-004,11,5128.975854,18.844845,92.70617797,6.48304653,8.108305432,0,35,7.1
Simulation,AR25-064-004,12,6039.357742,17.98203586,90.307748,6.792648875,8.895630583,0.038753913,35,7.1
Simulation,AR25-064-004,13,6891.006208,16.71728979,87.39245496,7.127920674,9.663664865,0,35,7.1
Simulation,AR25-064-004,14,7809.110518,14.91220415,84.59533197,7.437170764,10.32295827,0,35,7.1
Simulation,AR25-064-006,0,74.12251,1.1721,98.7,2.73,0.7,0,36.5,7.2
Simulation,AR25-064-006,1,-46.0386454,2.739109408,98.6393067,2.951304241,0.869740577,0,36.5,7.2
Simulation,AR25-064-006,2,-41.92597362,4.649296022,98.86385969,3.211202575,1.118181578,0,36.5,7.2
Simulation,AR25-064-006,3,86.10240715,6.834026963,99.22717346,3.488748211,1.456523702,0.040733198,36.5,7.2
Simulation,AR25-064-006,4,273.5313655,9.307175683,99.33667639,3.804112606,1.930015379,0,36.5,7.2
Simulation,AR25-064-006,5,647.5173678,11.69785639,99.59151065,4.071895146,2.442928936,0,35,7.2
Simulation,AR25-064-006,6,1149.356091,13.77371597,99.57952765,4.439987685,3.22712025,0.051177607,35,7.2
Simulation,AR25-064-006,7,1667.015108,15.69381161,98.91722688,4.852467444,4.10875717,0,35,7.2
Simulation,AR25-064-006,8,2362.234707,17.10978537,98.27669497,5.223633745,4.962840151,0.050130441,35,7.2
Simulation,AR25-064-006,9,3047.276306,18.23599806,96.91908699,5.625769674,5.884208532,0,35,7.2
Simulation,AR25-064-006,10,3878.408594,18.75065197,95.53924587,5.979131507,6.746929066,0.044216662,35,7.2
Simulation,AR25-064-006,11,4678.123306,18.87987665,93.48248629,6.354083911,7.637609497,0,35,7.2
Simulation,AR25-064-006,12,5583.788565,18.37603596,91.40462099,6.684834095,8.444875946,0.038734668,35,7.2
Simulation,AR25-064-006,13,6440.489261,17.48310672,88.77327313,7.037671696,9.247219509,0,35,7.2
Simulation,AR25-064-006,14,7371.375011,16.03453348,86.20347879,7.359026812,9.951827843,0,35,7.2
Simulation,AR25-064-007,0,78.40981,1.2633,99.2,2.78,0.75,0,36.5,7.1
Simulation,AR25-064-007,1,-17.78988377,2.936531067,99.13666547,3.012106795,0.952508829,0,36.5,7.1
Simulation,AR25-064-007,2,12.65426859,4.927803665,99.33030613,3.279902823,1.234513737,0,36.5,7.1
Simulation,AR25-064-007,3,167.9865503,7.161068574,99.63209422,3.562145554,1.605366619,0.040733198,36.5,7.1
Simulation,AR25-064-007,4,382.2893993,9.645027663,99.64973869,3.878997845,2.108469085,0,36.5,7.1
Simulation,AR25-064-007,5,781.4192453,12.00641955,99.78530872,4.145333304,2.646413916,0,35,7.1
Simulation,AR25-064-007,6,1305.573645,14.01360626,99.63200941,4.509571037,3.44969568,0.051311587,35,7.1
Simulation,AR25-064-007,7,1841.717855,15.82991562,98.81293558,4.916656055,4.343711208,0,35,7.1
Simulation,AR25-064-007,8,2551.585988,17.11295664,98.01074056,5.281536757,5.202788364,0.050243527,35,7.1
Simulation,AR25-064-007,9,3246.917117,18.08670925,96.49408089,5.67757893,6.122213333,0,35,7.1
Simulation,AR25-064-007,10,4084.635032,18.43921116,94.96840492,6.025722216,6.976524021,0.04423889,35,7.1
Simulation,AR25-064-007,11,4887.568131,18.40796504,92.78593272,6.397141622,7.853668226,0,35,7.1
Simulation,AR25-064-007,12,5794.00972,17.75588755,90.60903339,6.72654708,8.643775625,0.038696235,35,7.1
Simulation,AR25-064-007,13,6650.073069,16.73627883,87.90932047,7.080486956,9.427096439,0,35,7.1
Simulation,AR25-064-007,14,7579.857099,15.19008512,85.30263039,7.405459718,10.11273645,0,35,7.1
Simulation,AR25-064-009,0,75.38505,1.1377,98.7,2.93,0.75,0,36.5,7.1
Simulation,AR25-064-009,1,39.51973677,3.172558757,98.98073804,3.199214106,0.993935457,0,36.5,7.1
Simulation,AR25-064-009,2,137.3820525,5.522045208,99.437869,3.492217413,1.334407128,0,36.5,7.1
Simulation,AR25-064-009,3,362.9070987,8.062367546,99.89507626,3.785255931,1.773504515,0.040733198,36.5,7.1
Simulation,AR25-064-009,4,645.1323635,10.76047683,99.94314589,4.097145731,2.34637049,0,36.5,7.1
Simulation,AR25-064-009,5,1104.617631,13.21111034,99.97934522,4.342715483,2.947097212,0,35,7.1
Simulation,AR25-064-009,6,1676.520056,15.16326803,99.6046555,4.671659709,3.798216818,0.051314274,35,7.1
Simulation,AR25-064-009,7,2243.502574,16.77531742,98.46182272,5.031419595,4.718439407,0,35,7.1
Simulation,AR25-064-009,8,2964.170878,17.71472849,97.26331783,5.340436184,5.577291925,0.050253833,35,7.1
Simulation,AR25-064-009,9,3648.581056,18.22934188,95.31490443,5.676280065,6.467625632,0,35,7.1
Simulation,AR25-064-009,10,4453.683427,18.04273406,93.36337444,5.964390786,7.264092581,0.044270047,35,7.1
Simulation,AR25-064-009,11,5203.915346,17.43664455,90.80212275,6.280415422,8.057411961,0,35,7.1
Simulation,AR25-064-009,12,6040.907204,16.22240814,88.3318111,6.56296984,8.742730223,0.038744288,35,7.1
Simulation,AR25-064-009,13,6815.15882,14.7021366,85.45429398,6.881783732,9.407376545,0,35,7.1
Simulation,AR25-064-009,14,7656.347678,12.76061287,82.8068949,7.185276893,9.968628081,0,35,7.1
Simulation,AR25-064-011,0,73.8954,1.2059,97.7,2.77,0.74,0,36.5,7.1
