Type,Batch,Day,IGG,VCC,Viability,Glutamate,Ammonium,Normalized_Bolus_Feed,Temperature_setpoint,pH_setpoint
Simulation,AR25-064-002,0,72.87315,1.2037,99.2,2.69,0.74,0,36.5,7.1
Simulation,AR25-064-002,1,-3.35988233,2.541432619,99.15606085,2.965901036,1.444974178,0,36.5,7.1
Simulation,AR25-064-002,2,3.983463506,3.782244765,99.13426931,3.438342915,2.290234294,0,36.5,7.1
Simulation,AR25-064-002,3,117.7652246,5.147528119,99.16944024,4.027486602,3.129037219,0.040722564,36.5,7.1
Simulation,AR25-064-002,4,2.27554403,7.030718673,98.81389904,4.654216881,3.722062518,0,36.5,7.1
Simulation,AR25-064-002,5,432.8720183,9.428740161,99.22294763,5.298808444,4.066356838,0,35,7.1
Simulation,AR25-064-002,6,1066.130142,11.23271406,99.08679598,5.393407396,4.723234201,0.051316961,35,7.1
Simulation,AR25-064-002,7,1291.50181,12.57817724,97.93058025,5.65601573,5.610414974,0,35,7.1
Simulation,AR25-064-002,8,2044.185664,13.31546041,97.23174481,6.121742293,6.787242381,0.048088719,35,7.1
Simulation,AR25-064-002,9,2417.4596,13.84020195,95.60360972,6.632748939,7.966462686,0,35,7.1
Simulation,AR25-064-002,10,3285.914021,13.98021617,94.41783782,7.224321479,9.22162817,0.04447814,35,7.1
Simulation,AR25-064-002,11,3801.62501,14.06183767,92.36706654,7.753806207,10.30807426,0,35,7.1
Simulation,AR25-064-002,12,4768.265761,13.87689438,90.70497975,8.261391434,11.32005879,0.038900803,35,7.1
Simulation,AR25-064-002,13,5414.415615,13.66182716,88.23378526,8.625218568,12.06638959,0,35,7.1
Simulation,AR25-064-002,14,6433.633867,13.17590826,86.03762048,8.891584097,12.65896323,0,35,7.1
Simulation,AR25-064-003,0,73.21845,1.2252,98.9,2.79,0.75,0,36.5,7.1
Simulation,AR25-064-003,1,20.64082328,2.772154535,98.93242332,3.014998141,1.305779477,0,36.5,7.1
