Type,Batch,Day,IGG,VCC,Viability,Glutamate,Ammonium,Normalized_Bolus_Feed,Temperature_setpoint,pH_setpoint
Simulation,AR25-064-002,0,72.87315,1.2037,99.2,2.69,0.74,0,36.5,7.1
Simulation,AR25-064-002,1,59.42465338,1.196738954,99.45237138,3.366901269,1.332764121,0,36.5,7.1
Simulation,AR25-064-002,2,19.93194387,1.907912906,99.63730479,3.828939187,1.796233048,0,36.5,7.1
Simulation,AR25-064-002,3,29.99698182,3.396695515,99.86866388,4.146793843,2.139415538,0.040722564,36.5,7.1
Simulation,AR25-064-002,4,-18.19267532,5.973257181,98.13842031,5.036369334,3.753008917,0,36.5,7.1
Simulation,AR25-064-002,5,463.3379089,10.78316127,98.75228706,5.150388395,3.718929569,0,35,7.1
Simulation,AR25-064-002,6,915.2263803,11.52081348,99.7491744,4.797519507,3.582082605,0.051316961,35,7.1
Simulation,AR25-064-002,7,1169.443669,11.44862214,97.95863027,5.486230828,5.386629576,0,35,7.1
Simulation,AR25-064-002,8,1859.676456,11.93075249,98.74050337,5.518338477,5.488497552,0.048088719,35,7.1
Simulation,AR25-064-002,9,2260.709774,11.63565506,96.58387434,6.347170508,7.36018388,0,35,7.1
Simulation,AR25-064-002,10,3025.271324,11.89569501,96.64828106,6.486514576,7.61493366,0.04447814,35,7.1
Simulation,AR25-064-002,11,3504.016558,11.51697884,93.8581224,7.327993224,9.492674917,0,35,7.1
Simulation,AR25-064-002,12,4316.898841,11.7922415,93.01242496,7.509590243,9.857315421,0.038900803,35,7.1
Simulation,AR25-064-002,13,4883.937829,11.66231614,89.53982211,8.279432319,11.6201197,0,35,7.1
Simulation,AR25-064-002,14,5759.281967,12.31673235,87.64383332,8.44483846,12.02923084,0,35,7.1
Simulation,AR25-064-003,0,73.21845,1.2252,98.9,2.79,0.75,0,36.5,7.1
Simulation,AR25-064-003,1,41.41520094,1.440371635,99.10754648,3.387877951,1.289658355,0,36.5,7.1
Simulation,AR25-064-003,2,9.371068117,2.401565133,99.29215524,3.796012686,1.702223059,0,36.5,7.1
Simulation,AR25-064-003,3,42.50127865,4.152265546,99.53879085,4.066342919,1.991998469,0.040733198,36.5,7.1
Simulation,AR25-064-003,4,27.92401275,6.984779559,97.82307648,4.908055984,3.549527882,0,36.5,7.1
Simulation,AR25-064-003,5,550.4952313,12.02586416,98.44140929,4.971892213,3.457459087,0,35,7.1
Simulation,AR25-064-003,6,1047.87793,12.95050634,99.42403715,4.567465164,3.263550658,0.05144627,35,7.1
Simulation,AR25-064-003,7,1348.585539,13.00447095,97.58749922,5.207464468,5.019299887,0,35,7.1
Simulation,AR25-064-003,8,2084.898541,13.5411673,98.30019506,5.191946113,5.074316949,0.050795625,35,7.1
Simulation,AR25-064-003,9,2516.866288,13.23510769,95.90445014,6.024711152,7.000898467,0,35,7.1
Simulation,AR25-064-003,10,3331.168331,13.4937329,95.84564098,6.132547493,7.220648648,0.044808799,35,7.1
Simulation,AR25-064-003,11,3848.589356,13.04184017,92.86992724,6.946928149,9.080947095,0,35,7.1
Simulation,AR25-064-003,12,4693.381521,13.18521568,91.81627319,7.100509465,9.424150505,0.039221602,35,7.1
Simulation,AR25-064-003,13,5280.260851,12.86635437,88.08126093,7.853408343,11.18449403,0,35,7.1
Simulation,AR25-064-003,14,6167.296003,13.29979817,85.9072202,8.003598406,11.58638472,0,35,7.1
Simulation,AR25-064-004,0,75.18855,0.6079,98.9,2.81,0.69,0,36.5,7.1
Simulation,AR25-064-004,1,-17.20845773,0.633107423,99.03849681,3.389640356,1.24460103,0,36.5,7.1
Simulation,AR25-064-004,2,-99.85842399,1.43501362,99.2047389,3.808965686,1.680306497,0,36.5,7.1
Simulation,AR25-064-004,3,-113.67082,3.069728357,99.46920741,4.102160097,1.994073932,0.040728944,36.5,7.1
Simulation,AR25-064-004,4,-172.7583402,5.84044356,97.804035,4.969669424,3.571925418,0,36.5,7.1
Simulation,AR25-064-004,5,308.5830191,10.88153398,98.50527593,5.057581867,3.493907202,0,35,7.1
Simulation,AR25-064-004,6,769.7747783,11.87150065,99.60427153,4.67247436,3.305688289,0.051335778,35,7.1
Simulation,AR25-064-004,7,1041.587563,12.05340577,97.92325217,5.323206115,5.053909478,0,35,7.1
Simulation,AR25-064-004,8,1756.346298,12.76970539,98.81775418,5.312394795,5.095934334,0.050502448,35,7.1
Simulation,AR25-064-004,9,2177.247683,12.68255135,96.64873764,6.137254141,6.990998397,0,35,7.1
Simulation,AR25-064-004,10,2987.083427,13.17166254,96.82622903,6.234736149,7.183512832,0.044401837,35,7.1
Simulation,AR25-064-004,11,3510.227974,12.94417385,94.12897697,7.027353545,8.999547366,0,35,7.1
Simulation,AR25-064-004,12,4363.425936,13.2670482,93.34639139,7.163227266,9.31425528,0.038753913,35,7.1
Simulation,AR25-064-004,13,4964.267265,13.06355673,89.91657349,7.892754321,11.03614351,0,35,7.1
Simulation,AR25-064-004,14,5860.497724,13.50691575,88.0261423,8.032699751,11.42795157,0,35,7.1
Simulation,AR25-064-006,0,74.12251,1.1721,98.7,2.73,0.7,0,36.5,7.2
Simulation,AR25-064-006,1,147.2978392,1.224286718,99.1786313,3.613709193,1.327342319,0,36.5,7.2
Simulation,AR25-064-006,2,132.1884582,2.047016069,99.45223734,4.147433298,1.773649691,0,36.5,7.2
Simulation,AR25-064-006,3,144.6168388,3.702755663,99.72673661,4.474681941,2.070344335,0.040733198,36.5,7.2
Simulation,AR25-064-006,4,94.26056911,6.497640895,98.03102201,5.341606877,3.617857555,0,36.5,7.2
Simulation,AR25-064-006,5,576.8983322,11.56739387,98.68570225,5.413144372,3.501764564,0,35,7.2
Simulation,AR25-064-006,6,1036.13592,12.59060354,99.73217257,5.00378278,3.270224168,0.051177607,35,7.2
Simulation,AR25-064-006,7,1305.11383,12.80862757,98.00507723,5.622919188,4.965392074,0,35,7.2
Simulation,AR25-064-006,8,2014.692542,13.55811007,98.84518917,5.579756346,4.956341638,0.050130441,35,7.2
Simulation,AR25-064-006,9,2431.179352,13.50171709,96.64253167,6.363870233,6.784254112,0,35,7.2
Simulation,AR25-064-006,10,3232.083906,14.00635423,96.76804762,6.424626512,6.920267406,0.044216662,35,7.2
Simulation,AR25-064-006,11,3745.744791,13.78736702,94.03249187,7.177122383,8.671253841,0,35,7.2
Simulation,AR25-064-006,12,4585.718032,14.10464024,93.20587417,7.275264857,8.925614569,0.038734668,35,7.2
Simulation,AR25-064-006,13,5170.892804,13.88553278,89.73922106,7.966947234,10.58483921,0,35,7.2
Simulation,AR25-064-006,14,6048.095429,14.30149203,87.81825227,8.069478231,10.91311956,0,35,7.2
Simulation,AR25-064-007,0,78.40981,1.2633,99.2,2.78,0.75,0,36.5,7.1
Simulation,AR25-064-007,1,46.82727718,1.37341932,99.41847197,3.393817437,1.307483304,0,36.5,7.1
Simulation,AR25-064-007,2,8.43363992,2.207987518,99.60640564,3.818567696,1.741841925,0,36.5,7.1
Simulation,AR25-064-007,3,29.57277915,3.816584671,99.85386294,4.108541052,2.057772158,0.040733198,36.5,7.1
Simulation,AR25-064-007,4,-2.086398737,6.499327465,98.14048113,4.973631951,3.645436781,0,36.5,7.1
Simulation,AR25-064-007,5,498.919715,11.39211858,98.7664187,5.064415703,3.586600593,0,35,7.1
Simulation,AR25-064-007,6,971.0946456,12.17986494,99.7656552,4.689811256,3.427791851,0.051311587,35,7.1
Simulation,AR25-064-007,7,1244.583872,12.11731909,97.96511871,5.359158473,5.214445298,0,35,7.1
Simulation,AR25-064-007,8,1951.21084,12.56319951,98.72230243,5.375700892,5.304259464,0.050243527,35,7.1
Simulation,AR25-064-007,9,2355.975239,12.19989489,96.41812917,6.230811998,7.24440061,0,35,7.1
Simulation,AR25-064-007,10,3139.577912,12.42428511,96.44143671,6.367970919,7.494560305,0.04423889,35,7.1
Simulation,AR25-064-007,11,3631.842479,11.97711663,93.60127951,7.200996619,9.362177173,0,35,7.1
Simulation,AR25-064-007,12,4450.306768,12.14776279,92.67596285,7.379487613,9.729386574,0.038696235,35,7.1
Simulation,AR25-064-007,13,5018.217237,11.88950665,89.12185395,8.146707048,11.49212681,0,35,7.1
Simulation,AR25-064-007,14,5886.879916,12.39540623,87.12351462,8.316665563,11.91234654,0,35,7.1
Simulation,AR25-064-009,0,75.38505,1.1377,98.7,2.93,0.75,0,36.5,7.1
Simulation,AR25-064-009,1,3.668502094,1.549148091,98.83779557,3.423029129,1.230535814,0,36.5,7.1
Simulation,AR25-064-009,2,-34.09574559,2.737382875,99.02213283,3.769255879,1.591896054,0,36.5,7.1
Simulation,AR25-064-009,3,12.24342569,4.730359849,99.29727985,3.991644655,1.830324683,0.040733198,36.5,7.1
Simulation,AR25-064-009,4,22.75411146,7.802935763,97.61844061,4.788127687,3.334375842,0,36.5,7.1
Simulation,AR25-064-009,5,578.281452,13.06300165,98.26992268,4.805933566,3.187538184,0,35,7.1
Simulation,AR25-064-009,6,1113.386526,14.16631712,99.27347795,4.354674896,2.939783958,0.051314274,35,7.1
Simulation,AR25-064-009,7,1454.064842,14.3394418,97.44565253,4.946436036,4.640942911,0,35,7.1
Simulation,AR25-064-009,8,2227.614798,14.91620889,98.13571618,4.888062689,4.653102848,0.050253833,35,7.1
Simulation,AR25-064-009,9,2694.078361,14.55964503,95.71747096,5.675204568,6.528253547,0,35,7.1
